站名,座標,緯度,經度
寶慶公園,25.01687+121.2926,25.01687,121.2926
同德國中,25.01579+121.29287,25.01579,121.29287
永安北路口,25.0141+121.2924,25.0141,121.2924
中埔二街,25.01291+121.29553,25.01291,121.29553
保定六街口,24.99915+121.30026,24.99915,121.30026
中央西路,24.95763+121.22258,24.95763,121.22258
忠二路口,24.99639+121.2999,24.99639,121.2999
廈門正光路口,24.99445+121.29567,24.99445,121.29567
正光法治路口,24.99323+121.29514,24.99323,121.29514
信陽街口,24.99272+121.29276,24.99272,121.29276
復旦新村,24.94453+121.19779,24.94453,121.19779
高山下,24.94232+121.19072,24.94232,121.19072
過嶺步道,24.94589+121.18831,24.94589,121.18831
長安路339巷,24.94958+121.19204,24.94958,121.19204
新明國小(明德路),24.95912+121.21662,24.95912,121.21662
長安路3巷,24.95603+121.19586,24.95603,121.19586
平鎮游泳池,24.95513+121.18939,24.95513,121.18939
麒麟山莊,24.9583+121.19031,24.9583,121.19031
陸光路一,24.95976+121.19023,24.95976,121.19023
陸光路二,24.9547+121.18726,24.9547,121.18726
新明國小,24.95873+121.21587,24.95873,121.21587
六和高中,24.94551+121.18611,24.94551,121.18611
庫房南路,24.9498+121.18474,24.9498,121.18474
陸光路福德祠,24.95374+121.183,24.95374,121.183
雙榮路241巷,24.95288+121.17822,24.95288,121.17822
忠勇西街站(G05),24.96794+121.30109,24.96794,121.30109
廣豐新天地,24.96447+121.30039,24.96447,121.30039
水流,24.99566+121.0768,24.99566,121.0768
德新橋,24.99953+121.07527,24.99953,121.07527
保生國小,25.00612+121.07196,25.00612,121.07196
保生廟,25.00806+121.06979,25.00806,121.06979
兩座厝,25.01149+121.06952,25.01149,121.06952
小飯壢,25.01878+121.07027,25.01878,121.07027
萬欣,25.02121+121.07166,25.02121,121.07166
廖厝,25.02497+121.07375,25.02497,121.07375
武威,25.02699+121.07455,25.02699,121.07455
桃園市政府,24.99183+121.30179,24.99183,121.30179
公廳背,25.02905+121.07531,25.02905,121.07531
塘背,25.03099+121.07536,25.03099,121.07536
溪內派出所,24.80342+121.36825,24.80342,121.36825
松柏園,24.93857+121.29736,24.93857,121.29736
瑞發家園,24.93383+121.29745,24.93383,121.29745
上合流,24.80196+121.36793,24.80196,121.36793
金暖,24.81014+121.37651,24.81014,121.37651
霞雲里,24.81663+121.38425,24.81663,121.38425
基國派,24.83447+121.33425,24.83447,121.33425
下基國派,24.83641+121.33642,24.83641,121.33642
大窩,24.83788+121.33874,24.83788,121.33874
西湖,24.83813+121.34255,24.83813,121.34255
新興,24.99495+121.2701,24.99495,121.2701
蝙蝠洞,24.83843+121.34924,24.83843,121.34924
建福新村,24.92038+121.13564,24.92038,121.13564
力行街口,24.97545+121.30243,24.97545,121.30243
利台,24.97684+121.30305,24.97684,121.30305
三民介壽路口,24.98274+121.30761,24.98274,121.30761
三民建國路口,24.9847+121.30743,24.9847,121.30743
南華街口,24.98999+121.30796,24.98999,121.30796
中華南華街口,24.9904+121.30844,24.9904,121.30844
下彭厝,24.92577+121.12989,24.92577,121.12989
香榭社區,24.93211+121.12518,24.93211,121.12518
老飯店,24.93429+121.12322,24.93429,121.12322
營盤下,24.93678+121.12381,24.93678,121.12381
上田里,24.94215+121.12157,24.94215,121.12157
御花園,24.9464+121.11984,24.9464,121.11984
全富新城,24.95226+121.118,24.95226,121.118
二號池,24.95478+121.11751,24.95478,121.11751
九斗里,24.96378+121.11238,24.96378,121.11238
石坡下,24.96756+121.11027,24.96756,121.11027
新屋,24.97113+121.10815,24.97113,121.10815
仁美國中,24.92272+121.18273,24.92272,121.18273
銘德,24.92251+121.18109,24.92251,121.18109
純青湖,24.92305+121.17782,24.92305,121.17782
日月光公司,24.97011+121.25214,24.97011,121.25214
內壢家樂福,24.97162+121.25337,24.97162,121.25337
光明聯福,25.04874+121.28891,25.04874,121.28891
